tickerID,IQ_COMPANY_NAME_LONG,IQ_BUS_SEG_PRIMARY_PIC_ABS,IQ_BUS_SEG_SECONDARY_PIC_ABS,IQ_BUS_SEG_PRIMARY_SIC_ABS,IQ_BUS_SEG_SECONDARY_SIC_ABS,IQ_INDUSTRY_SECTOR,IQ_INDUSTRY_GROUP,IQ_INDUSTRY,IQ_PRIMARY_INDUSTRY,IQ_PRIMARY_INDUSTRY_SUBSECTOR5_ID,IQ_PRIMARY_INDUSTRY_SUBSECTOR5_NAME,IQ_PRIMARY_INDUSTRY_SUBSECTOR6_ID,IQ_PRIMARY_SIC_CODE,IQ_PRIMARY_SIC_INDUSTRY,IQ_COMPANY_TYPE,IQ_PICS_CODE,IQ_BUS_SEG_NAIC_ABS
NasdaqGS:AAPL,Apple Inc. (NasdaqGS:AAPL),Consumer Electronics ,Application Software ,Household audio and video equipment (3651),Prepackaged software (7372),Information Technology,Technology Hardware and Equipment,"Technology Hardware, Storage and Peripherals","Technology Hardware, Storage and Peripherals",8121200,Computer Components,(Invalid Subsector ID),3663,Radio and Television communications equipment,Public Company,45202030,Audio and Video Equipment Manufacturing (334310)
NasdaqGS:GOOGL,Alphabet Inc. (NasdaqGS:GOOGL),0,0,0,0,Information Technology,Software and Services,Internet Software and Services,Internet Software and Services,8021200,Online Services,(Invalid Subsector ID),7370,"Computer programming, data processing, and other computer related services",Public Company,45101010,0
NasdaqGS:MSFT,Microsoft Corporation (NasdaqGS:MSFT),Systems Software ,IT Consulting & Other Services ,Prepackaged software (7372),Computer related services (7379),Information Technology,Software and Services,Software,Systems Software,8042005,Development Tools,(Invalid Subsector ID),7372,Prepackaged software,Public Company,45103020,Software Publishers (511210)
NasdaqGS:AMZN,"Amazon.com, Inc. (NasdaqGS:AMZN)",Internet and Direct Marketing Retail ,Internet and Direct Marketing Retail ,Nonstore retailers (5960),Catalog and mail-order houses (5961),Consumer Discretionary,Retailing,Internet and Direct Marketing Retail,Internet and Direct Marketing Retail,4422001,Online Specialty Retail,(Invalid Subsector ID),5961,Catalog and mail-order houses,Public Company,25502020,Electronic Shopping (454111)
NasdaqGS:FB,"Facebook, Inc. (NasdaqGS:FB)",Internet Software & Services ,0,Information retrieval services (7375),0,Information Technology,Software and Services,Internet Software and Services,Internet Software and Services,8021200,Online Services,(Invalid Subsector ID),7370,"Computer programming, data processing, and other computer related services",Public Company,45101010,"Data Processing, Hosting, and Related Services (518)"
NYSE:BRK.A,Berkshire Hathaway Inc. (NYSE:BRK.A),0,0,0,0,Financials,Diversified Financials,Diversified Financial Services,Multi-Sector Holdings,7112100,Investment Services and Holding Companies,(Invalid Subsector ID),9997,Conglomerates,Public Company,40201030,0
NYSE:BABA,Alibaba Group Holding Limited (NYSE:BABA),Internet Software & Services ,Internet Software & Services ,Information retrieval services (7375),Information retrieval services (7375),Information Technology,Software and Services,Internet Software and Services,Internet Software and Services,8021100,Internet Software,(Invalid Subsector ID),7370,"Computer programming, data processing, and other computer related services",Public Company,45101010,"Data Processing, Hosting, and Related Services (518)"
NYSE:JNJ,Johnson & Johnson (NYSE:JNJ),0,0,0,0,Healthcare,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals,Pharmaceuticals,6121140,Non-Prescription Drugs,(Invalid Subsector ID),2834,Pharmaceutical preparations,Public Company,35202010,0
NYSE:XOM,Exxon Mobil Corporation (NYSE:XOM),Commodity Chemicals ,Specialty Chemicals ,Industrial organic chemicals (2860),Cyclic crudes and intermediates (2865),Energy,Energy,"Oil, Gas and Consumable Fuels",Integrated Oil and Gas,0,0,(Invalid Subsector ID),2911,Petroleum refining,Public Company,10102010,Other Basic Organic Chemical Manufacturing (32519)
NYSE:JPM,JPMorgan Chase & Co. (NYSE:JPM),0,0,0,0,Financials,Banks,Banks,Diversified Banks,7013100,Private and Industrial Banking,(Invalid Subsector ID),6020,Commercial banks,Public Company,40101010,0
NYSE:WFC,Wells Fargo & Company (NYSE:WFC),Consumer Finance ,Specialized Finance ,Personal credit institutions (6141),Business credit institutions (6150),Financials,Banks,Banks,Diversified Banks,0,0,(Invalid Subsector ID),6020,Commercial banks,Public Company,40101010,Nondepository Credit Intermediation (5222)
NYSE:BAC,Bank of America Corporation (NYSE:BAC),0,0,0,0,Financials,Banks,Banks,Diversified Banks,0,0,(Invalid Subsector ID),6020,Commercial banks,Public Company,40101010,0
NYSE:GE,General Electric Company (NYSE:GE),Aerospace & Defense ,Airport Services ,Aircraft and parts (3720),"Airports, flying fields, and services (4581)",Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates,0,0,(Invalid Subsector ID),9997,Conglomerates,Public Company,20105010,Aircraft Engine and Engine Parts Manufacturing (336412)
NYSE:WMT,"Wal-Mart Stores, Inc. (NYSE:WMT)",Food Retail ,General Merchandise Stores ,Grocery stores (5411),Department stores (5311),Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Hypermarkets and Super Centers,5024200,Hypermarkets,(Invalid Subsector ID),5331,Variety stores,Public Company,30101040,Grocery Stores (4451)
NYSE:PG,The Procter & Gamble Company (NYSE:PG),0,0,0,0,Consumer Staples,Household and Personal Products,Household Products,Household Products,5211100,Cleaning Products,(Invalid Subsector ID),2840,"Soap, detergents, cleaning preperations, perfumes, cosmetics, and other toilet preperations",Public Company,30301010,0
NYSE:T,AT&T Inc. (NYSE:T),0,0,0,0,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services,9022200,Local Telecommunications Services,(Invalid Subsector ID),4812,Radiotelephone communications,Public Company,50101020,0
NYSE:V,Visa Inc. (NYSE:V),Data Processing & Outsourced Services ,Consumer Finance ,Business services (7389),Functions related to deposit banking (6099),Information Technology,Software and Services,IT Services,Data Processing and Outsourced Services,8021233,Internet Merchant Services,(Invalid Subsector ID),6099,Functions related to deposit banking,Public Company,45102020,"Financial Transactions Processing, Reserve, and Clearinghouse Activities (522320)"
ENXTAM:RDSA,Royal Dutch Shell plc (ENXTAM:RDSA),Oil & Gas Refining & Marketing ,Renewable Electricity ,Petroleum products (5172),Electric services (4911),Energy,Energy,"Oil, Gas and Consumable Fuels",Integrated Oil and Gas,0,0,(Invalid Subsector ID),2911,Petroleum refining,Public Company,10102010,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals) (424720)
ENXTBR:ABI,Anheuser-Busch InBev SA/NV (ENXTBR:ABI),Brewers ,Distillers & Vintners ,Malt beverages (2082),Distilled and blended liquors (2085),Consumer Staples,"Food, Beverage and Tobacco",Beverages,Brewers,5111100,"Beer, Ale and Malt Beverages",(Invalid Subsector ID),2082,Malt beverages,Public Company,30201010,Breweries (312120)
NYSE:ORCL,Oracle Corporation (NYSE:ORCL),0,0,0,0,Information Technology,Software and Services,Software,Systems Software,8042005,Development Tools,(Invalid Subsector ID),7372,Prepackaged software,Public Company,45103020,0
SWX:NOVN,Novartis AG (SWX:NOVN),Pharmaceuticals ,Pharmaceuticals ,Drugs (2830),Medicinals and botanicals (2833),Healthcare,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals,Pharmaceuticals,6121200,Medicinal Chemicals and Botanical Products,(Invalid Subsector ID),2834,Pharmaceutical preparations,Public Company,35202010,Pharmaceutical and Medicine Manufacturing (32541)
NYSE:PFE,Pfizer Inc. (NYSE:PFE),Pharmaceuticals ,0,Drugs (2830),0,Healthcare,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals,Pharmaceuticals,6121140,Non-Prescription Drugs,(Invalid Subsector ID),2834,Pharmaceutical preparations,Public Company,35202010,Pharmaceutical and Medicine Manufacturing (32541)
NYSE:CVX,Chevron Corporation (NYSE:CVX),0,0,0,0,Energy,Energy,"Oil, Gas and Consumable Fuels",Integrated Oil and Gas,0,0,(Invalid Subsector ID),2911,Petroleum refining,Public Company,10102010,0
NYSE:KO,The Coca-Cola Company (NYSE:KO),Soft Drinks ,Soft Drinks ,Bottled and canned soft drinks (2086),Bottled and canned soft drinks (2086),Consumer Staples,"Food, Beverage and Tobacco",Beverages,Soft Drinks,5113100,Bottled Water,(Invalid Subsector ID),2086,Bottled and canned soft drinks,Public Company,30201030,Soft Drink Manufacturing (312111)
LSE:HSBA,HSBC Holdings plc (LSE:HSBA),Diversified Banks ,Asset Management & Custody Banks ,Commercial banks (6029),Investment offices (6720),Financials,Banks,Banks,Diversified Banks,7012300,Foreign Banking and Branches Of Foreign Banks,(Invalid Subsector ID),6020,Commercial banks,Public Company,40101010,Commercial Banking (522110)
NasdaqGS:CMCS.A,Comcast Corporation (NasdaqGS:CMCS.A),Cable & Satellite ,0,Cable and other pay Television services (4841),0,Consumer Discretionary,Media,Media,Cable and Satellite,4312200,Cable And Other Pay Television,(Invalid Subsector ID),4841,Cable and other pay Television services,Public Company,25401025,Cable and Other Subscription Programming (515210)
NYSE:PM,Philip Morris International Inc. (NYSE:PM),0,0,0,0,Consumer Staples,"Food, Beverage and Tobacco",Tobacco,Tobacco,5131100,Cigarettes,(Invalid Subsector ID),2111,Cigarettes,Public Company,30203010,0
NYSE:HD,"The Home Depot, Inc. (NYSE:HD)",Home Improvement Retail ,Home Improvement Retail ,"Building materials, hardware, garden supply, and mobile home dealers (5200)",Retail nurseries and garden stores (5261),Consumer Discretionary,Retailing,Specialty Retail,Home Improvement Retail,4443700,Lawn and Garden Supply Stores,(Invalid Subsector ID),5211,Lumber and other building materials,Public Company,25504030,Building Material and Supplies Dealers (4441)
TSEC:2330,Taiwan Semiconductor Manufacturing Company Limited (TSEC:2330),Semiconductors ,Semiconductor Equipment ,Semiconductors and related devices (3674),Special industry machinery (3559),Information Technology,Semiconductors and Semiconductor Equipment,Semiconductors and Semiconductor Equipment,Semiconductors,8212200,Digital,(Invalid Subsector ID),3674,Semiconductors and related devices,Public Company,45301020,Semiconductor and Related Device Manufacturing (334413)
NYSE:C,Citigroup Inc. (NYSE:C),0,0,0,0,Financials,Banks,Banks,Diversified Banks,0,0,(Invalid Subsector ID),6199,Finance services,Public Company,40101010,0
NYSE:UNH,UnitedHealth Group Incorporated (NYSE:UNH),Managed Health Care ,Life & Health Insurance ,Hospital and medical service plans (6324),Hospital and medical service plans (6324),Healthcare,Healthcare Equipment and Services,Healthcare Providers and Services,Managed Healthcare,6034100,Medical Practice Organizations,(Invalid Subsector ID),6324,Hospital and medical service plans,Public Company,35102030,Direct Health and Medical Insurance Carriers (524114)
NYSE:VZ,Verizon Communications Inc. (NYSE:VZ),0,0,0,0,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services,9022200,Local Telecommunications Services,(Invalid Subsector ID),4812,Radiotelephone communications,Public Company,50101020,0
NYSE:MRK,"Merck & Co., Inc. (NYSE:MRK)",Pharmaceuticals ,Pharmaceuticals ,Pharmaceutical preparations (2834),Pharmaceutical preparations (2834),Healthcare,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals,Pharmaceuticals,6121140,Non-Prescription Drugs,(Invalid Subsector ID),2834,Pharmaceutical preparations,Public Company,35202010,Pharmaceutical Preparation Manufacturing (325412)
TSE:7203,Toyota Motor Corporation (TSE:7203),0,0,0,0,Consumer Discretionary,Automobiles and Components,Automobiles,Automobile Manufacturers,4021151,Light Truck and Sport Utility Vehicles (SUVs),(Invalid Subsector ID),3711,Motor vehicles and car bodies,Public Company,25102010,0
NYSE:DIS,The Walt Disney Company (NYSE:DIS),"Hotels, Resorts & Cruise Lines ",Leisure Facilities ,Hotels and motels (7011),Amusement and recreation services (7900),Consumer Discretionary,Media,Media,Movies and Entertainment,4313200,Entertainment Production Companies,(Invalid Subsector ID),4888,Diversified Multi-Media,Public Company,25401030,Hotels (except Casino Hotels) and Motels (72111)
NYSE:PEP,"Pepsico, Inc. (NYSE:PEP)",Soft Drinks ,Soft Drinks ,Bottled and canned soft drinks (2086),Canned fruits and vegetables (2033),Consumer Staples,"Food, Beverage and Tobacco",Beverages,Soft Drinks,5113100,Bottled Water,(Invalid Subsector ID),2080,Beverages,Public Company,30201030,Soft Drink Manufacturing (312111)
NasdaqGS:INTC,Intel Corporation (NasdaqGS:INTC),Semiconductors ,Electronic Components ,Semiconductors and related devices (3674),Electronic components and accessories (3670),Information Technology,Semiconductors and Semiconductor Equipment,Semiconductors and Semiconductor Equipment,Semiconductors,8212200,Digital,(Invalid Subsector ID),3674,Semiconductors and related devices,Public Company,45301020,Semiconductor and Related Device Manufacturing (334413)
NasdaqGS:CSCO,"Cisco Systems, Inc. (NasdaqGS:CSCO)",Communications Equipment ,IT Consulting & Other Services ,Telephone and telegraph apparatus (3661),Computer related services (7379),Information Technology,Technology Hardware and Equipment,Communications Equipment,Communications Equipment,8111200,Networking Equipment,(Invalid Subsector ID),3576,Computer communications equipment,Public Company,45201020,Telephone Apparatus Manufacturing (334210)
NYSE:IBM,International Business Machines Corporation (NYSE:IBM),Application Software ,Data Processing & Outsourced Services ,Prepackaged software (7372),Data processing and preparation (7374),Information Technology,Software and Services,IT Services,IT Consulting and Other Services,8031100,Information Technology (IT) Consulting,(Invalid Subsector ID),7370,"Computer programming, data processing, and other computer related services",Public Company,45102010,Software Publishers (511210)
NYSE:MO,"Altria Group, Inc. (NYSE:MO)",Tobacco ,0,Cigarettes (2111),0,Consumer Staples,"Food, Beverage and Tobacco",Tobacco,Tobacco,5131300,"Chewing, Pipe Tobacco And Snuff",(Invalid Subsector ID),2111,Cigarettes,Public Company,30203010,Tobacco Manufacturing (312230)
NYSE:MA,Mastercard Incorporated (NYSE:MA),Data Processing & Outsourced Services ,0,Data processing and preparation (7374),0,Information Technology,Software and Services,IT Services,Data Processing and Outsourced Services,0,0,(Invalid Subsector ID),6099,Functions related to deposit banking,Public Company,45102020,"Data Processing, Hosting, and Related Services (518210)"
NasdaqGS:AMGN,Amgen Inc. (NasdaqGS:AMGN),Pharmaceuticals ,0,Pharmaceutical preparations (2834),0,Healthcare,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology,Biotechnology,0,0,(Invalid Subsector ID),2836,Biological products except diagnostic,Public Company,35201010,Pharmaceutical Preparation Manufacturing (325412)
LSE:BATS,British American Tobacco p.l.c. (LSE:BATS),Life & Health Insurance ,Asset Management & Custody Banks ,Life insurance (6311),Investment offices (6720),Consumer Staples,"Food, Beverage and Tobacco",Tobacco,Tobacco,5131300,"Chewing, Pipe Tobacco And Snuff",(Invalid Subsector ID),2111,Cigarettes,Public Company,30203010,Direct Life Insurance Carriers (524113)
NYSE:MCD,McDonald's Corporation (NYSE:MCD),0,0,0,0,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Restaurants,4214200,Limited Service Restaurants,(Invalid Subsector ID),5812,Eating places,Public Company,25301040,0
NYSE:MMM,3M Company (NYSE:MMM),Health Care Equipment ,Health Care Supplies ,Surgical and medical instruments (3841),Surgical appliances and supplies (3842),Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates,0,0,(Invalid Subsector ID),2670,"Converted paper and paperboard products, except containers and boxes",Public Company,20105010,Surgical and Medical Instrument Manufacturing (339112)
NYSE:BA,The Boeing Company (NYSE:BA),Aerospace & Defense ,Aerospace & Defense ,Aircraft (3721),"Airports, flying fields, and services (4581)",Industrials,Capital Goods,Aerospace and Defense,Aerospace and Defense,9551739,Aerospace and Defense Maintenance and Services,(Invalid Subsector ID),3721,Aircraft,Public Company,20101010,Aircraft Manufacturing (336411)
DB:SAP,SAP SE (DB:SAP),IT Consulting & Other Services ,Internet Software & Services ,Computer maintenance and repair (7378),Information retrieval services (7375),Information Technology,Software and Services,Software,Application Software,8041350,Enterprise Software,(Invalid Subsector ID),7372,Prepackaged software,Public Company,45103010,Computer Systems Design and Related Services (5415)
ENXTPA:FP,TOTAL S.A. (ENXTPA:FP),Oil & Gas Exploration & Production ,Oil & Gas Refining & Marketing ,Crude petroleum and natural gas (1311),Petroleum products (5172),Energy,Energy,"Oil, Gas and Consumable Fuels",Integrated Oil and Gas,0,0,(Invalid Subsector ID),2911,Petroleum refining,Public Company,10102010,Crude Petroleum and Natural Gas Extraction (211111)
NYSE:MDT,Medtronic plc (NYSE:MDT),Health Care Equipment ,0,"Surgical, medical, and dental instruments and supplies (3840)",0,Healthcare,Healthcare Equipment and Services,Healthcare Equipment and Supplies,Healthcare Equipment,6021100,Medical Equipment,(Invalid Subsector ID),3845,Electromedical equipment,Public Company,35101010,Medical Equipment and Supplies Manufacturing (33911)
ENXTPA:SAN,Sanofi (ENXTPA:SAN),Pharmaceuticals ,0,Pharmaceutical preparations (2834),0,Healthcare,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals,Pharmaceuticals,6121140,Non-Prescription Drugs,(Invalid Subsector ID),2834,Pharmaceutical preparations,Public Company,35202010,Pharmaceutical Preparation Manufacturing (325412)
NYSE:ABBV,AbbVie Inc. (NYSE:ABBV),Biotechnology ,Pharmaceuticals ,Biological products except diagnostic (2836),Pharmaceutical preparations (2834),Healthcare,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology,Biotechnology,0,0,(Invalid Subsector ID),2836,Biological products except diagnostic,Public Company,35201010,Pharmaceutical Preparation Manufacturing (325412)
LSE:BP.,BP p.l.c. (LSE:BP.),Oil & Gas Exploration & Production ,Renewable Electricity ,Natural gas liquids (1321),Electric services (4910),Energy,Energy,"Oil, Gas and Consumable Fuels",Integrated Oil and Gas,0,0,(Invalid Subsector ID),2911,Petroleum refining,Public Company,10102010,Oil and Gas Extraction (21111)
TSX:RY,Royal Bank of Canada (TSX:RY),Investment Banking & Brokerage ,Consumer Finance ,Security brokers and dealers (6211),Functions related to deposit banking (6099),Financials,Banks,Banks,Diversified Banks,7012300,Foreign Banking and Branches Of Foreign Banks,(Invalid Subsector ID),6020,Commercial banks,Public Company,40101010,Investment Banking and Securities Dealing (523110)
CPSE:NOVO B,Novo Nordisk A/S (CPSE:NOVO B),Pharmaceuticals ,Health Care Supplies ,Pharmaceutical preparations (2834),Surgical appliances and supplies (3842),Healthcare,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals,Pharmaceuticals,6121100,Pharmaceutical Products,(Invalid Subsector ID),2834,Pharmaceutical preparations,Public Company,35202010,Pharmaceutical Preparation Manufacturing (325412)
BME:SAN,"Banco Santander, S.A. (BME:SAN)",0,0,0,0,Financials,Banks,Banks,Diversified Banks,0,0,(Invalid Subsector ID),6020,Commercial banks,Public Company,40101010,0
NasdaqGS:CELG,Celgene Corporation (NasdaqGS:CELG),Biotechnology ,Pharmaceuticals ,Biological products except diagnostic (2836),Pharmaceutical preparations (2834),Healthcare,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology,Biotechnology,0,0,(Invalid Subsector ID),2834,Pharmaceutical preparations,Public Company,35201010,Biological Product (except Diagnostic) Manufacturing (325414)
NasdaqGS:KHC,The Kraft Heinz Company (NasdaqGS:KHC),Packaged Foods & Meats ,0,Food and kindred products (2000),Frozen fruits and vegetables (2037),Consumer Staples,"Food, Beverage and Tobacco",Food Products,Packaged Foods and Meats,5113700,Coffee And Tea,(Invalid Subsector ID),2030,"Canned, frozen, and preserved fruits, vegetables, and food specialties",Public Company,30202030,Food Manufacturing (311)
NYSE:HON,Honeywell International Inc. (NYSE:HON),Electronic Equipment & Instruments ,Electronic Equipment & Instruments ,"Measuring, analyzing, and control instruments; photographic, medical, and optical goods; and watches and clocks (3800)",Measuring and controlling devices  (3829),Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates,0,0,(Invalid Subsector ID),9997,Conglomerates,Public Company,20105010,Electromedical and Electrotherapeutic Apparatus Manufacturing (334510)
NasdaqGS:AVGO,Broadcom Limited (NasdaqGS:AVGO),Semiconductors ,Semiconductors ,Semiconductors and related devices (3674),Semiconductors and related devices (3674),Information Technology,Semiconductors and Semiconductor Equipment,Semiconductors and Semiconductor Equipment,Semiconductors,8212100,Analog and Mixed Signal,(Invalid Subsector ID),3674,Semiconductors and related devices,Public Company,45301020,Semiconductor and Related Device Manufacturing (334413)
LSE:GSK,GlaxoSmithKline plc (LSE:GSK),Pharmaceuticals ,0,Commercial physical research (8731),0,Healthcare,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals,Pharmaceuticals,6121140,Non-Prescription Drugs,(Invalid Subsector ID),2834,Pharmaceutical preparations,Public Company,35202010,"Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology) (541712)"
NYSE:UTX,United Technologies Corporation (NYSE:UTX),Industrial Machinery ,Diversified Support Services ,"Construction, mining, and materials handling machinery and equipment (3530)",Miscellaneous repair services (7600),Industrials,Capital Goods,Aerospace and Defense,Aerospace and Defense,9551739,Aerospace and Defense Maintenance and Services,(Invalid Subsector ID),3724,Aircraft engines and engine parts,Public Company,20101010,Material Handling Equipment Manufacturing (33392)
