tickerID,IQ_BUS_SEG_PRIMARY_PIC_ABS,IQ_BUS_SEG_SECONDARY_PIC_ABS,IQ_BUS_SEG_PRIMARY_SIC_ABS,IQ_BUS_SEG_SECONDARY_SIC_ABS,IQ_INDUSTRY_SECTOR,IQ_INDUSTRY_GROUP,IQ_INDUSTRY,IQ_PRIMARY_INDUSTRY,IQ_PRIMARY_INDUSTRY_SUBSECTOR5_ID,IQ_PRIMARY_INDUSTRY_SUBSECTOR5_NAME,IQ_PRIMARY_INDUSTRY_SUBSECTOR6_ID,IQ_PRIMARY_SIC_CODE,IQ_PRIMARY_SIC_INDUSTRY,IQ_COMPANY_TYPE,IQ_PICS_CODE,IQ_BUS_SEG_NAIC_ABS
NasdaqGS:AAPL,Consumer Electronics ,Application Software ,Household audio and video equipment (3651),Prepackaged software (7372),Information Technology,Technology Hardware and Equipment,"Technology Hardware, Storage and Peripherals","Technology Hardware, Storage and Peripherals",8121200,Computer Components,(Invalid Subsector ID),3663,Radio and Television communications equipment,Public Company,45202030,Audio and Video Equipment Manufacturing (334310)
NasdaqGS:GOOGL,0,0,0,0,Information Technology,Software and Services,Internet Software and Services,Internet Software and Services,8021200,Online Services,(Invalid Subsector ID),7370,"Computer programming, data processing, and other computer related services",Public Company,45101010,0
NasdaqGS:MSFT,Systems Software ,IT Consulting & Other Services ,Prepackaged software (7372),Computer related services (7379),Information Technology,Software and Services,Software,Systems Software,8042005,Development Tools,(Invalid Subsector ID),7372,Prepackaged software,Public Company,45103020,Software Publishers (511210)
NasdaqGS:AMZN,Internet and Direct Marketing Retail ,Internet and Direct Marketing Retail ,Nonstore retailers (5960),Catalog and mail-order houses (5961),Consumer Discretionary,Retailing,Internet and Direct Marketing Retail,Internet and Direct Marketing Retail,4422001,Online Specialty Retail,(Invalid Subsector ID),5961,Catalog and mail-order houses,Public Company,25502020,Electronic Shopping (454111)
NasdaqGS:FB,Internet Software & Services ,0,Information retrieval services (7375),0,Information Technology,Software and Services,Internet Software and Services,Internet Software and Services,8021200,Online Services,(Invalid Subsector ID),7370,"Computer programming, data processing, and other computer related services",Public Company,45101010,"Data Processing, Hosting, and Related Services (518)"
NYSE:BRK.A,0,0,0,0,Financials,Diversified Financials,Diversified Financial Services,Multi-Sector Holdings,7112100,Investment Services and Holding Companies,(Invalid Subsector ID),9997,Conglomerates,Public Company,40201030,0
NYSE:XOM,Commodity Chemicals ,Specialty Chemicals ,Industrial organic chemicals (2860),Cyclic crudes and intermediates (2865),Energy,Energy,"Oil, Gas and Consumable Fuels",Integrated Oil and Gas,0,0,(Invalid Subsector ID),2911,Petroleum refining,Public Company,10102010,Other Basic Organic Chemical Manufacturing (32519)
NYSE:JNJ,0,0,0,0,Healthcare,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals,Pharmaceuticals,6121140,Non-Prescription Drugs,(Invalid Subsector ID),2834,Pharmaceutical preparations,Public Company,35202010,0
NYSE:JPM,0,0,0,0,Financials,Banks,Banks,Diversified Banks,7013100,Private and Industrial Banking,(Invalid Subsector ID),6020,Commercial banks,Public Company,40101010,0
NYSE:WFC,Consumer Finance ,Specialized Finance ,Personal credit institutions (6141),Business credit institutions (6150),Financials,Banks,Banks,Diversified Banks,0,0,(Invalid Subsector ID),6020,Commercial banks,Public Company,40101010,Nondepository Credit Intermediation (5222)
