tickerID,fiscalQ,revenue,quarter,year,fiscalQ1,company_name,exchange,symbol
AMEX:CCF,FQ12013,53.4,1,2013,2013Q1,Chase Corporation,AMEX,CCF
AMEX:CCF,FQ22013,48.372,2,2013,2013Q2,Chase Corporation,AMEX,CCF
AMEX:CCF,FQ32013,55.732,3,2013,2013Q3,Chase Corporation,AMEX,CCF
AMEX:CCF,FQ42013,58.557,4,2013,2013Q4,Chase Corporation,AMEX,CCF
AMEX:CCF,FQ12014,54.183,1,2014,2014Q1,Chase Corporation,AMEX,CCF
AMEX:CCF,FQ22014,51.191,2,2014,2014Q2,Chase Corporation,AMEX,CCF
AMEX:CCF,FQ32014,57.598,3,2014,2014Q3,Chase Corporation,AMEX,CCF
AMEX:CCF,FQ42014,61.034,4,2014,2014Q4,Chase Corporation,AMEX,CCF
AMEX:CCF,FQ12015,55.933,1,2015,2015Q1,Chase Corporation,AMEX,CCF
AMEX:CCF,FQ22015,52.304,2,2015,2015Q2,Chase Corporation,AMEX,CCF
AMEX:CCF,FQ32015,64.898,3,2015,2015Q3,Chase Corporation,AMEX,CCF
AMEX:CCF,FQ42015,64.911,4,2015,2015Q4,Chase Corporation,AMEX,CCF
AMEX:CCF,FQ12016,57.478,1,2016,2016Q1,Chase Corporation,AMEX,CCF
AMEX:CCF,FQ22016,54.924,2,2016,2016Q2,Chase Corporation,AMEX,CCF
AMEX:CCF,FQ32016,64.236,3,2016,2016Q3,Chase Corporation,AMEX,CCF
AMEX:CCF,FQ42016,61.456,4,2016,2016Q4,Chase Corporation,AMEX,CCF
AMEX:CCF,FQ12017,61.357,1,2017,2017Q1,Chase Corporation,AMEX,CCF
AMEX:CCF,FQ22017,57.308,2,2017,2017Q2,Chase Corporation,AMEX,CCF
AMEX:CQP,FQ12013,66.108,1,2013,2013Q1,"Cheniere Energy Partners, L.P.",AMEX,CQP
AMEX:CQP,FQ22013,67.638,2,2013,2013Q2,"Cheniere Energy Partners, L.P.",AMEX,CQP
AMEX:CQP,FQ32013,67.446,3,2013,2013Q3,"Cheniere Energy Partners, L.P.",AMEX,CQP
AMEX:CQP,FQ42013,66.999,4,2013,2013Q4,"Cheniere Energy Partners, L.P.",AMEX,CQP
AMEX:CQP,FQ12014,67.221,1,2014,2014Q1,"Cheniere Energy Partners, L.P.",AMEX,CQP
AMEX:CQP,FQ22014,67.328,2,2014,2014Q2,"Cheniere Energy Partners, L.P.",AMEX,CQP
AMEX:CQP,FQ32014,67.59,3,2014,2014Q3,"Cheniere Energy Partners, L.P.",AMEX,CQP
AMEX:CQP,FQ42014,66.559,4,2014,2014Q4,"Cheniere Energy Partners, L.P.",AMEX,CQP
AMEX:CQP,FQ12015,67.53,1,2015,2015Q1,"Cheniere Energy Partners, L.P.",AMEX,CQP
AMEX:CQP,FQ22015,67.689,2,2015,2015Q2,"Cheniere Energy Partners, L.P.",AMEX,CQP
AMEX:CQP,FQ32015,67.537,3,2015,2015Q3,"Cheniere Energy Partners, L.P.",AMEX,CQP
AMEX:CQP,FQ42015,67.272,4,2015,2015Q4,"Cheniere Energy Partners, L.P.",AMEX,CQP
AMEX:CQP,FQ12016,67,1,2016,2016Q1,"Cheniere Energy Partners, L.P.",AMEX,CQP
AMEX:CQP,FQ22016,151.171,2,2016,2016Q2,"Cheniere Energy Partners, L.P.",AMEX,CQP
AMEX:CQP,FQ32016,331.409,3,2016,2016Q3,"Cheniere Energy Partners, L.P.",AMEX,CQP
AMEX:CQP,FQ42016,550.613,4,2016,2016Q4,"Cheniere Energy Partners, L.P.",AMEX,CQP
AMEX:CQP,FQ12017,891,1,2017,2017Q1,"Cheniere Energy Partners, L.P.",AMEX,CQP
AMEX:GTE,FQ12013,186.24,1,2013,2013Q1,NA,NA,NA
AMEX:GTE,FQ22013,150.25,2,2013,2013Q2,NA,NA,NA
AMEX:GTE,FQ32013,170.825,3,2013,2013Q3,NA,NA,NA
AMEX:GTE,FQ42013,139.64,4,2013,2013Q4,NA,NA,NA
AMEX:GTE,FQ12014,151.105,1,2014,2014Q1,NA,NA,NA
AMEX:GTE,FQ22014,147.888,2,2014,2014Q2,NA,NA,NA
AMEX:GTE,FQ32014,161.517,3,2014,2014Q3,NA,NA,NA
AMEX:GTE,FQ42014,98.888,4,2014,2014Q4,NA,NA,NA
AMEX:GTE,FQ12015,76.231,1,2015,2015Q1,NA,NA,NA
AMEX:GTE,FQ22015,69.35,2,2015,2015Q2,NA,NA,NA
AMEX:GTE,FQ32015,75.653,3,2015,2015Q3,NA,NA,NA
AMEX:GTE,FQ42015,54.777,4,2015,2015Q4,NA,NA,NA
AMEX:GTE,FQ12016,57.403,1,2016,2016Q1,NA,NA,NA
AMEX:GTE,FQ22016,71.713,2,2016,2016Q2,NA,NA,NA
AMEX:GTE,FQ32016,68.539,3,2016,2016Q3,NA,NA,NA
AMEX:GTE,FQ42016,91.614,4,2016,2016Q4,NA,NA,NA
AMEX:GTE,FQ12017,94.659,1,2017,2017Q1,NA,NA,NA
AMEX:LNG,FQ12013,66.061,1,2013,2013Q1,"Cheniere Energy, Inc.",AMEX,LNG
AMEX:LNG,FQ22013,66.426,2,2013,2013Q2,"Cheniere Energy, Inc.",AMEX,LNG
AMEX:LNG,FQ32013,66.735,3,2013,2013Q3,"Cheniere Energy, Inc.",AMEX,LNG
AMEX:LNG,FQ42013,66.184,4,2013,2013Q4,"Cheniere Energy, Inc.",AMEX,LNG
AMEX:LNG,FQ12014,66.419,1,2014,2014Q1,"Cheniere Energy, Inc.",AMEX,LNG
AMEX:LNG,FQ22014,66.841,2,2014,2014Q2,"Cheniere Energy, Inc.",AMEX,LNG
AMEX:LNG,FQ32014,66.983,3,2014,2014Q3,"Cheniere Energy, Inc.",AMEX,LNG
AMEX:LNG,FQ42014,67.363,4,2014,2014Q4,"Cheniere Energy, Inc.",AMEX,LNG
AMEX:LNG,FQ12015,66.802,1,2015,2015Q1,"Cheniere Energy, Inc.",AMEX,LNG
AMEX:LNG,FQ22015,66.489,2,2015,2015Q2,"Cheniere Energy, Inc.",AMEX,LNG
AMEX:LNG,FQ32015,66.597,3,2015,2015Q3,"Cheniere Energy, Inc.",AMEX,LNG
AMEX:LNG,FQ42015,65.832,4,2015,2015Q4,"Cheniere Energy, Inc.",AMEX,LNG
AMEX:LNG,FQ12016,65,1,2016,2016Q1,"Cheniere Energy, Inc.",AMEX,LNG
AMEX:LNG,FQ22016,65.622,2,2016,2016Q2,"Cheniere Energy, Inc.",AMEX,LNG
AMEX:LNG,FQ32016,66.97,3,2016,2016Q3,"Cheniere Energy, Inc.",AMEX,LNG
AMEX:LNG,FQ42016,67.262,4,2016,2016Q4,"Cheniere Energy, Inc.",AMEX,LNG
AMEX:LNG,FQ12017,68,1,2017,2017Q1,"Cheniere Energy, Inc.",AMEX,LNG
AMEX:NHC,FQ12013,178.43,1,2013,2013Q1,NA,NA,NA
AMEX:NHC,FQ22013,178.401,2,2013,2013Q2,NA,NA,NA
AMEX:NHC,FQ32013,182.966,3,2013,2013Q3,NA,NA,NA
AMEX:NHC,FQ42013,196.04,4,2013,2013Q4,NA,NA,NA
AMEX:NHC,FQ12014,199.769,1,2014,2014Q1,NA,NA,NA
AMEX:NHC,FQ22014,205.632,2,2014,2014Q2,NA,NA,NA
AMEX:NHC,FQ32014,207.772,3,2014,2014Q3,NA,NA,NA
AMEX:NHC,FQ42014,216.114,4,2014,2014Q4,NA,NA,NA
AMEX:NHC,FQ12015,212.061,1,2015,2015Q1,NA,NA,NA
AMEX:NHC,FQ22015,214.433,2,2015,2015Q2,NA,NA,NA
AMEX:NHC,FQ32015,215.351,3,2015,2015Q3,NA,NA,NA
AMEX:NHC,FQ42015,223.001,4,2015,2015Q4,NA,NA,NA
AMEX:NHC,FQ12016,218.106,1,2016,2016Q1,NA,NA,NA
AMEX:NHC,FQ22016,216.487,2,2016,2016Q2,NA,NA,NA
AMEX:NHC,FQ32016,218.647,3,2016,2016Q3,NA,NA,NA
AMEX:NHC,FQ42016,227.484,4,2016,2016Q4,NA,NA,NA
AMEX:NHC,FQ12017,227.959,1,2017,2017Q1,NA,NA,NA
AMEX:PARR,FQ12013,64.886,1,2013,2013Q1,NA,NA,NA
AMEX:PARR,FQ22013,29.367,2,2013,2013Q2,NA,NA,NA
