month,raw_string,spend,company_name,symbol
2015-11-01,STAPLES       00114447,9662,Staples,SPLS
2015-11-01,CATO #1113,826,Cato,CATO
2015-03-01,HYATT PLACE RICHMOND ARBO,3743,Hyatt Place,H
2015-02-01,JACK IN THE BOX #3467,956,Jack in the Box Inc.,JACK
2016-04-01,RAINBOW #1804,539,Rainbow,SVU
2016-07-01,DUNKIN #338010     Q35,2156,Dunkin' Donuts,DNKN
2016-04-01,WENDY'S 719,405,Wendy's,WEN
2015-04-01,T MOBILE 8719,2602,T-Mobile,TMUS
2015-02-01,BIG LOTS STORES - #0560,1488,"Big Lots, Inc.",BIG
2014-10-01,ADVANCE AUTO PARTS #8656,2479,Advance Auto Parts,AAP
2014-07-01,TM *ST. LUCIA,596,Ticketmaster,LMCA
2015-12-01,VICTORIA'S SECRET 0723,50787,Victoria's Secret,LB
2014-11-01,TACO BELL 015195,127,Taco Bell,YUM
2014-03-01,PIZZA HUT # 029392,252,Pizza Hut,YUM
2013-11-01,MCDONALD'S F7937,542,McDonalds Corporation,MCD
2015-09-01,BEST BUY      00003202,3418,Best Buy,BBY
2016-01-01,KFC  103003,979,KFC,YUM
2016-07-01,FAMILY DOLLAR #7780,1016,Family Dollar,DLTR
2016-01-01,VERIZON WRLS 29545-01,2059,Verizon Wireless,VZ
2015-10-01,MCDONALD'S F22417,6311,McDonalds Corporation,MCD
2015-08-01,APPLEBEES ARLI94204260,1262,Applebee's Neighborhood Bar & Grill,DIN
2015-03-01,GNC #7899,1178,GNC,GNC
2016-01-01,BASKIN #362105     Q35,146,Baskin-Robbins,DNKN
2014-10-01,RUBY TUESDAY #4129,5378,Ruby Tuesday,RT
2015-10-01,DOLLAR-GENERAL #2068,1568,Dollar General Corporation,DG
2014-05-01,TACO BELL 002400242578,1153,Taco Bell,YUM
2016-02-01,AT&T S807 5725,1367,AT&T,T
2015-12-01,DOLLAR GENERAL #14387,566,Dollar General Corporation,DG
2015-10-01,PAYPAL *MARTINSAUTO,3168,Martin's,AD-AMS
2016-05-01,WALGREENS #10514,3171,Walgreens,WBA
2015-08-01,WAL-MART #0288,7913,"Wal-Mart Stores, Inc.",WMT
2015-02-01,CHILI'S BRENHAM,7048,Chili's Grill & Bar,EAT
2016-01-01,MCDONALD'S F31658,174,McDonalds Corporation,MCD
2014-11-01,WHOLEFDS NPL 10192 000000,769,"Whole Foods Market, Inc.",WFM
2016-07-01,WENDY'S #7965,563,Wendy's,WEN
2016-05-01,JACK IN THE BOX #0489,581,Jack in the Box Inc.,JACK
2014-06-01,TACO CABANA #0265,747,Taco Cabana,FRGI
2015-09-01,WALGREENS  2967,572,Walgreens,WBA
2016-01-01,TJMAXX #0052,1972,T.J. Maxx,TJX
2016-05-01,CIRCLE K 07221,6175,Circle K,ATD.B-TSE
2016-06-01,SMITHFIELD HANESBRANDS,1272,Hanes,HBI
2014-05-01,DOLRTREE 1655 00016550,380,Dollar Tree,DLTR
2014-12-01,MCDONALD'S F24981,632,McDonalds Corporation,MCD
2015-04-01,MCDONALD'S F6630,725,McDonalds Corporation,MCD
2015-04-01,NYSC-WEST NYACK,623,New York Sports Club,CLUB
2015-12-01,BATH & BODY WORKS 1301,15651,Bath & Body Works,LB
2014-06-01,HYATT HOTELS LONG BCH F&B,1907,Hyatt,H
2014-12-01,CHIPOTLE 0082,340,Chipotle,CMG
2015-04-01,DOLRTREE 4682 00046821,486,Dollar Tree,DLTR
2015-08-01,ADVANCE AUTO PARTS #6072,736,Advance Auto Parts,AAP
2014-12-01,POLLO TROPICAL #0089,670,Pollo Tropical,FRGI
2016-06-01,MURPHY'S CEE BEE,3857,"Murphy USA, Inc.",MUSA
2016-04-01,KROGER FUEL CTR #7209,3475,Kroger Fuel,KR
