"exchange","symbol","fiscalQID","revenue","quarter","year","fiscalQ1"
"TSE","2158","FQ12013",16.52696,1,2013,"2013Q1"
"TSE","2158","FQ22013",13.35216,2,2013,"2013Q2"
"TSE","2158","FQ32013",13.5316,3,2013,"2013Q3"
"TSE","2158","FQ42013",12.40275,4,2013,"2013Q4"
"TSE","2158","FQ12014",12.53464,1,2014,"2014Q1"
"TSE","2158","FQ22014",8.67217,2,2014,"2014Q2"
"TSE","2158","FQ32014",10.49929,3,2014,"2014Q3"
"TSE","2158","FQ42014",9.46465,4,2014,"2014Q4"
"TSE","2158","FQ12015",13.01279,1,2015,"2015Q1"
"TSE","2158","FQ22015",14.30264,2,2015,"2015Q2"
"TSE","2158","FQ32015",13.03785,3,2015,"2015Q3"
"TSE","2158","FQ42015",15.25203,4,2015,"2015Q4"
"TSE","2158","FQ12016",14.11284,1,2016,"2016Q1"
"TSE","2158","FQ22016",22.50804,2,2016,"2016Q2"
"TSE","2158","FQ32016",26.43927,3,2016,"2016Q3"
"TSE","2158","FQ42016",26.07236,4,2016,"2016Q4"
"TSE","2158","FQ12017",27.1873,1,2017,"2017Q1"
"TSE","2158","FQ22017",24.14219,2,2017,"2017Q2"
"TSE","2158","FQ32017",25.79871,3,2017,"2017Q3"
"TSE","2158","FQ42017",26.52915,4,2017,"2017Q4"
"TSEC","2303","FQ12013",898.13845,1,2013,"2013Q1"
"TSEC","2303","FQ22013",1030.83353,2,2013,"2013Q2"
"TSEC","2303","FQ32013",1098.96583,3,2013,"2013Q3"
"TSEC","2303","FQ42013",992.31822,4,2013,"2013Q4"
"TSEC","2303","FQ12014",1010.14256,1,2014,"2014Q1"
"TSEC","2303","FQ22014",1172.73447,2,2014,"2014Q2"
"TSEC","2303","FQ32014",1126.78457,3,2014,"2014Q3"
"TSEC","2303","FQ42014",1086.06165,4,2014,"2014Q4"
"TSEC","2303","FQ12015",1173.29125,1,2015,"2015Q1"
"TSEC","2303","FQ22015",1187.24401,2,2015,"2015Q2"
"TSEC","2303","FQ32015",1043.64027,3,2015,"2015Q3"
"TSEC","2303","FQ42015",1122.1034,4,2015,"2015Q4"
"TSEC","2303","FQ12016",1024.9473,1,2016,"2016Q1"
"TSEC","2303","FQ22016",1112.51132,2,2016,"2016Q2"
"TSEC","2303","FQ32016",1179.99185,3,2016,"2016Q3"
"TSEC","2303","FQ42016",1298.38789,4,2016,"2016Q4"
"TSEC","2303","FQ12017",1183.15728,1,2017,"2017Q1"
"TSEC","2311","FQ12013",1614.29294,1,2013,"2013Q1"
"TSEC","2311","FQ22013",1689.9643,2,2013,"2013Q2"
"TSEC","2311","FQ32013",1919.96492,3,2013,"2013Q3"
"TSEC","2311","FQ42013",2147.76239,4,2013,"2013Q4"
"TSEC","2311","FQ12014",1797.08215,1,2014,"2014Q1"
"TSEC","2311","FQ22014",1961.68838,2,2014,"2014Q2"
"TSEC","2311","FQ32014",2191.04588,3,2014,"2014Q3"
"TSEC","2311","FQ42014",2414.76732,4,2014,"2014Q4"
"TSEC","2311","FQ12015",2066.87415,1,2015,"2015Q1"
"TSEC","2311","FQ22015",2269.97941,2,2015,"2015Q2"
"TSEC","2311","FQ32015",2211.07519,3,2015,"2015Q3"
"TSEC","2311","FQ42015",2291.07394,4,2015,"2015Q4"
"TSEC","2311","FQ12016",1940.3043,1,2016,"2016Q1"
"TSEC","2311","FQ22016",1941.10707,2,2016,"2016Q2"
"TSEC","2311","FQ32016",2323.13082,3,2016,"2016Q3"
"TSEC","2311","FQ42016",2380.07261,4,2016,"2016Q4"
"TSEC","2311","FQ12017",2187.94371,1,2017,"2017Q1"
"TSEC","2325","FQ12013",462.92409,1,2013,"2013Q1"
"TSEC","2325","FQ22013",586.01671,2,2013,"2013Q2"
"TSEC","2325","FQ32013",645.92547,3,2013,"2013Q3"
"TSEC","2325","FQ42013",630.75363,4,2013,"2013Q4"
"TSEC","2325","FQ12014",593.34944,1,2014,"2014Q1"
"TSEC","2325","FQ22014",733.87045,2,2014,"2014Q2"
"TSEC","2325","FQ32014",711.98273,3,2014,"2014Q3"
"TSEC","2325","FQ42014",675.20211,4,2014,"2014Q4"
"TSEC","2325","FQ12015",665.02292,1,2015,"2015Q1"
"TSEC","2325","FQ22015",686.60214,2,2015,"2015Q2"
"TSEC","2325","FQ32015",607.75263,3,2015,"2015Q3"
"TSEC","2325","FQ42015",629.71767,4,2015,"2015Q4"
"TSEC","2325","FQ12016",600.38295,1,2016,"2016Q1"
"TSEC","2325","FQ22016",672.24518,2,2016,"2016Q2"
"TSEC","2325","FQ32016",700.77204,3,2016,"2016Q3"
"TSEC","2325","FQ42016",684.36425,4,2016,"2016Q4"
"TSEC","2325","FQ12017",642.78479,1,2017,"2017Q1"
"TSEC","2330","FQ12013",4447.10558,1,2013,"2013Q1"
"TSEC","2330","FQ22013",5189.98264,2,2013,"2013Q2"
"TSEC","2330","FQ32013",5500.4579,3,2013,"2013Q3"
"TSEC","2330","FQ42013",4880.53049,4,2013,"2013Q4"
"TSEC","2330","FQ12014",4869.41235,1,2014,"2014Q1"
"TSEC","2330","FQ22014",6125.18351,2,2014,"2014Q2"
"TSEC","2330","FQ32014",6874.14854,3,2014,"2014Q3"
"TSEC","2330","FQ42014",7010.74698,4,2014,"2014Q4"
"TSEC","2330","FQ12015",7097.14379,1,2015,"2015Q1"
"TSEC","2330","FQ22015",6641.01358,2,2015,"2015Q2"
"TSEC","2330","FQ32015",6447.94465,3,2015,"2015Q3"
"TSEC","2330","FQ42015",6171.90593,4,2015,"2015Q4"
"TSEC","2330","FQ12016",6330.54472,1,2016,"2016Q1"
"TSEC","2330","FQ22016",6877.8247,2,2016,"2016Q2"
"TSEC","2330","FQ32016",8311.7103,3,2016,"2016Q3"
"TSEC","2330","FQ42016",8091.93384,4,2016,"2016Q4"
"TSEC","2330","FQ12017",7690.25215,1,2017,"2017Q1"
